"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/BrandsProductCard.jsx", "JavaScript JSX", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Card.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/CartHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/CartProducts.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 44
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Category.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 49
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/CategoryCard.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/CategoryHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/CategoryProductCard.jsx", "JavaScript JSX", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Center.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ContactForm.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 85
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ContactHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/DealCard.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/DealsHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/EditProfileCard.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 75
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/EditProfileHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
